race_source_id,date,course,distance,distance_yards,going,runner,finish_position,or,base_rating,same_day_rating,historical_fallback_rating,base_standard,actual,deviation_seconds,deviation_per_f,standard_sample_size,standard_sample_stdev,same_day_peers,same_day_stdev,historical_sample,likely_cause
882335,2025-10-03,Hexham,2m 7f 63y,5123,Good to Soft,Zwicky,3,99,-117.98,-26.73,-109.70,373.06,420.19,47.13,2.02,11,16.79,6,0.50,175,bad_or_implausible_winning_time_or_configuration
841726,2025-01-30,Wincanton,2m 5f 82y,4702,Heavy,Only Gossip,3,,-117.86,-11.19,15.40,310.06,350.10,40.04,1.87,5,18.45,7,0.35,8,bad_or_implausible_winning_time_or_configuration
889604,2025-11-16,Fontwell,2m 5f 164y,4784,Good to Soft,Sawpit Samantha,10,73,-117.65,-69.72,-104.15,329.30,354.26,24.96,1.15,19,11.75,5,0.34,245,unusually_slow_or_fast_going
865308,2025-06-29,Cartmel,3m 1f 107y,5607,Good to Soft (Soft in places),Pilgrims King,7,92,-117.33,-56.98,-84.93,393.51,433.64,40.13,1.57,7,15.16,6,0.46,159,bad_or_implausible_winning_time_or_configuration
882335,2025-10-03,Hexham,2m 7f 63y,5123,Good to Soft,Lelantos,2,96,-117.23,-25.98,-108.95,373.06,420.19,47.13,2.02,11,16.79,6,0.50,175,bad_or_implausible_winning_time_or_configuration
845777,2025-02-28,Ffos Las,2m 4f,4400,Heavy,Luna De Castana,6,99,-116.51,23.96,-1.99,303.58,334.67,31.09,1.55,26,13.16,5,0.20,47,bad_or_implausible_winning_time_or_configuration
887077,2025-10-30,Stratford,2m 70y,3590,Good to Soft (Soft in places),Amhranai,13,,-116.21,-120.37,-92.40,235.51,241.85,6.34,0.39,28,6.52,7,0.34,185,unknown_or_subtype_mixing_possible
882335,2025-10-03,Hexham,2m 7f 63y,5123,Good to Soft,Robert d'Ores,1,90,-115.48,-24.23,-107.20,373.06,420.19,47.13,2.02,11,16.79,6,0.50,175,bad_or_implausible_winning_time_or_configuration
842701,2025-02-08,Uttoxeter,2m 3f 207y,4387,Soft (Good to Soft in places),Mon Kaplais,7,100,-115.32,-4.28,-74.38,301.73,328.23,26.50,1.33,31,11.69,6,0.75,76,unusually_slow_or_fast_going
887398,2025-11-01,Wetherby,3m 45y,5325,Good,Djelo,1,162,315.30,197.36,287.34,395.28,356.81,-38.47,-1.59,13,10.75,6,0.39,793,bad_or_implausible_winning_time_or_configuration
890412,2025-11-20,Wincanton,1m 7f 149y,3449,Good,Star Of Affinity,2,111,315.30,262.75,294.88,250.39,214.13,-36.26,-2.31,2,2.76,6,0.68,842,weak_course_distance_sample
890412,2025-11-20,Wincanton,1m 7f 149y,3449,Good,Two To Tango,3,105,314.80,262.25,294.38,250.39,214.13,-36.26,-2.31,2,2.76,6,0.68,842,weak_course_distance_sample
842721,2025-02-09,Chepstow,2m 7f 131y,5191,Soft (Heavy in places),Chauffeur Driven,8,91,-114.77,-4.55,-24.59,361.16,395.50,34.34,1.46,20,14.09,6,0.24,43,unusually_slow_or_fast_going
